accuracy,loss,val_accuracy,val_loss
0.8334585428237915,0.3809066116809845,0.8644831776618958,0.32067185640335083
0.8599759340286255,0.32951295375823975,0.8596754670143127,0.33195510506629944
0.8631309866905212,0.32364243268966675,0.8581730723381042,0.3285203278064728
0.8657602071762085,0.3206430673599243,0.8753004670143127,0.3096040189266205
0.8617788553237915,0.32413703203201294,0.8587740659713745,0.3396289646625519
0.8616285920143127,0.3245183229446411,0.8695913553237915,0.30737748742103577
0.8640324473381042,0.3218037784099579,0.8668870329856873,0.30957934260368347
0.8660606741905212,0.32455432415008545,0.8795071840286255,0.3048568665981293
0.862229585647583,0.32381772994995117,0.8689903616905212,0.31417420506477356
0.8629807829856873,0.3301811218261719,0.8665865659713745,0.31338566541671753
