train accuracy,test accuracy
0.8662860576923077,0.8596153846153847
0.920733173076923,0.9081730769230769
0.9530048076923077,0.9331730769230769
0.9722956730769231,0.9411057692307693
0.9817307692307692,0.9387019230769231
0.989423076923077,0.942548076923077
0.9942908653846154,0.9379807692307692
0.9978365384615384,0.9322115384615385
0.9990384615384615,0.928125
0.9998197115384615,0.9259615384615385
0.9998798076923077,0.9230769230769231
0.9998798076923077,0.9221153846153847
0.9999399038461538,0.9201923076923076
0.9999399038461538,0.9211538461538461
1.0,0.9204326923076923
1.0,0.9199519230769231
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
1.0,0.9197115384615384
