accuracy,loss,val_accuracy,val_loss
0.8843148946762085,0.2743902802467346,0.9269831776618958,0.18526965379714966
0.9489933848381042,0.13366398215293884,0.9239783883094788,0.2005908340215683
0.9574819803237915,0.11140921711921692,0.9317908883094788,0.19080877304077148
0.9626652598381042,0.1006874218583107,0.9245793223381042,0.20611223578453064
0.9681490659713745,0.08786361664533615,0.92578125,0.21369017660617828
0.9704026579856873,0.08008202910423279,0.9293870329856873,0.2230226993560791
0.972581148147583,0.0733930692076683,0.926682710647583,0.22476178407669067
0.969801664352417,0.07831329852342606,0.9275841116905212,0.21846525371074677
0.9720553159713745,0.07401219755411148,0.9203726053237915,0.2412237823009491
0.9722806215286255,0.07513049989938736,0.926682710647583,0.2175837606191635
