train accuracy,test accuracy
0.8516826923076923,0.8471153846153846
0.8626201923076923,0.8557692307692307
0.8659254807692308,0.8598557692307692
0.868329326923077,0.8622596153846154
0.8703725961538461,0.8634615384615385
0.8730168269230769,0.8653846153846154
0.8748197115384615,0.8661057692307692
0.8753605769230769,0.8670673076923077
0.8758413461538461,0.8680288461538461
0.8763221153846154,0.8670673076923077
0.8777043269230769,0.8680288461538461
0.8784855769230769,0.86875
0.8786057692307693,0.8697115384615385
0.8793870192307692,0.8704326923076923
0.8796274038461539,0.8706730769230769
0.8801682692307692,0.8706730769230769
0.88046875,0.8713942307692307
0.8805889423076924,0.871875
0.8808293269230769,0.871875
0.8804086538461539,0.8725961538461539
0.8808293269230769,0.8721153846153846
0.8813701923076923,0.8721153846153846
0.8817307692307692,0.8728365384615384
0.8821514423076923,0.8737980769230769
0.8821514423076923,0.8740384615384615
0.8820913461538461,0.8742788461538461
0.8825721153846153,0.875
0.8827524038461538,0.8752403846153847
0.8831730769230769,0.875
0.8832331730769231,0.8752403846153847
0.8831730769230769,0.8752403846153847
0.8831730769230769,0.875
0.8833533653846154,0.8745192307692308
0.8833533653846154,0.875
0.8834134615384616,0.8754807692307692
0.8837139423076923,0.8752403846153847
0.8838341346153846,0.875
0.8838942307692308,0.8745192307692308
0.883954326923077,0.8742788461538461
0.8840745192307692,0.8740384615384615
0.8841346153846154,0.8737980769230769
0.884375,0.8742788461538461
0.8846754807692307,0.8745192307692308
0.8847956730769231,0.8757211538461539
0.8849158653846154,0.8754807692307692
0.8850961538461538,0.8752403846153847
0.8852163461538461,0.8752403846153847
0.8852764423076923,0.8762019230769231
0.88515625,0.8764423076923077
0.88515625,0.8766826923076924
