accuracy,loss,val_accuracy,val_loss
0.8713191151618958,0.3154616355895996,0.9176682829856873,0.21715976297855377
0.9359976053237915,0.17526572942733765,0.9176682829856873,0.2252756655216217
0.9455378651618958,0.15638521313667297,0.9224759340286255,0.22109928727149963
0.9489182829856873,0.1448056995868683,0.9137620329856873,0.23513482511043549
0.949293851852417,0.14339277148246765,0.9260817170143127,0.22309263050556183
0.9524489045143127,0.13920089602470398,0.920973539352417,0.21846558153629303
0.9513972401618958,0.14270426332950592,0.92578125,0.21870777010917664
0.9504206776618958,0.14802196621894836,0.9230769276618958,0.22840505838394165
0.9516226053237915,0.14478786289691925,0.914963960647583,0.22793778777122498
0.9523738026618958,0.14323347806930542,0.9176682829856873,0.23141144216060638
